"analysisId","analysisDescription","outcomeId","outcomeName","comparatorId","comparatorName","targetId","targetName","rr","ci95lb","ci95ub","p","target","comparator","targetDays","comparatorDays","eventsTarget","eventsComparator","logRr","seLogRr","llr"
1,"cox",59,"Female_Cancer_Cardiovascular_Diseases",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",0.853658536585368,0.541236499407943,1.33920803698488,0.493600129930065,482,482,737091,716294,56,64,-0.158224005214891,0.231120921748504,0.237088747800691
1,"cox",60,"Female_Cancer_stroke",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",0.937500000000002,0.458860157031804,1.9051303091303,0.858947712471252,510,510,820643,826099,25,29,-0.0645385211375692,0.363159783886239,0.0161318306883977
1,"cox",61,"Female_Cohort_blood_clots",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",NA,NA,NA,NA,530,530,881877,912677,1,0,NA,NA,NA
1,"cox",63,"Female_Cancer_arrhytmia",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",0.821428571428572,0.469161147506454,1.42389218362192,0.487338121975331,502,502,797791,801260,37,40,-0.196710294246054,0.283220272563481,0.245492190892641
1,"cox",274,"Female_Cancer_Cardiomyopathy",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",3,0.384235719132362,60.6201435184683,0.394828344177421,530,530,877527,911082,3,1,1.09861228866811,1.29112737322619,0.523248143764548
1,"cox",277,"COPY OF Female_Cancer_Myocardial_Infarction",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",1,0.0395799610481354,25.2653103620755,1,529,529,878566,908225,1,1,0,1.64769982939051,0
1,"cox",281,"[Female_Cancer}_Constrictive Pericarditis",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA
1,"cox",283,"[female_cancer]_Bradycardia",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",1.32121663993817e-09,3.00206380722758e-28,5.82580618024491,0.218551777606402,530,530,881037,912220,1,1,-20.4447128279271,16.6164737004453,0.693147177917515
1,"cox",284,"[Female_Cancer]_pericardial_effusion",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA
1,"cox",285,"[Female_Cancer]_heart_valve_disease",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA
1,"cox",286,"[Female_Cancer]_congestive_heart_failure",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA
1,"cox",290,"(Demo 2) Female Cancer Coronary arteriosclerosis",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",0.555555555555555,0.170719666555431,1.60806500638991,0.304260356236346,512,512,835878,851059,9,19,-0.587786664902119,0.572144197313491,0.579468671422095
1,"cox",291,"(Demo 2) Female Cancer Myocardial infarction",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",1,0.0395799610481354,25.2653103620755,1,529,529,877091,908372,1,1,0,1.64769982939051,0
1,"cox",292,"(Demo 2) Female Cancer Stroke",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",0.812500000000001,0.384019184473142,1.68720799324276,0.582386320689518,510,510,823099,826099,22,29,-0.207639364778243,0.37759312607321,0.15545036946714
1,"cox",501343,"hepatitis B immune globulin",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA
1,"cox",781705,"isocarboxazid",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA
1,"cox",903031,"tiopronin",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA
1,"cox",929542,"acetohydroxamic acid",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA
1,"cox",951980,"sacrosidase",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA
1,"cox",958999,"carbamide peroxide",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA
1,"cox",1368823,"altretamine",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA
1,"cox",1385645,"interferon alfa-n3",237,"Female_cancer_Breast_Cancer_with_Estrogen_Receptor",239,"Female_cancer_Breast_Cancer_with_Aromatase_Inhibitor",NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA
